Modèle,RMSE Test,RMSE Train,Écart %,MAE,R²,Params
XGBoost,87.9937091506218,0.31968078509866005,99.63670040939921,62.116161001105056,0.8829024149467134,"{'n_estimators': 1200, 'max_depth': 8, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'min_child_weight': 5, 'gamma': 0.3, 'reg_alpha': 0.7, 'reg_lambda': 1.5}"
XGBoost,85.39014838081248,20.52316776158088,75.96541503821473,60.97765734220806,0.8897292760878834,"{'n_estimators': 1200, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_weight': 7, 'gamma': 0.5, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
XGBoost,85.66583922851858,32.365043833279906,62.219428275319544,61.12496953060752,0.8890160859669137,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.07, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 3.0}"
XGBoost,85.42034509115224,17.144606342726476,79.92913008671245,60.33857077615303,0.8896512717293776,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_weight': 3, 'gamma': 0.3, 'reg_alpha': 0.7, 'reg_lambda': 2.0}"
XGBoost,85.61014261605496,15.102653166185561,82.35880386986615,60.54827681692023,0.8891603539421681,"{'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.5, 'min_child_weight': 5, 'gamma': 0.2, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
XGBoost,88.55501841312474,1.601820818363319,98.19115748935815,62.71286784924959,0.8814037260496301,"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 0.6, 'colsample_bytree': 0.5, 'min_child_weight': 7, 'gamma': 0.5, 'reg_alpha': 0.5, 'reg_lambda': 2.5}"
LightGBM,85.86449829514397,30.634226671949307,64.32259282916952,61.239845354673854,0.8885007457664399,"{'n_estimators': 1000, 'max_depth': 8, 'learning_rate': 0.05, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.6, 'min_child_samples': 50, 'reg_alpha': 0.3, 'reg_lambda': 2.0}"
LightGBM,85.22922203903157,32.93274353229323,61.35979803123001,60.340168252278545,0.8901445170256939,"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.03, 'num_leaves': 31, 'subsample': 0.7, 'colsample_bytree': 0.5, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 1.5}"
LightGBM,87.55113703884456,30.912215674103244,64.69238810640671,61.890757541482934,0.8840773579965693,"{'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.1, 'num_leaves': 15, 'subsample': 0.6, 'colsample_bytree': 0.5, 'min_child_samples': 30, 'reg_alpha': 0.7, 'reg_lambda': 2.5}"
LightGBM,86.87855367224974,31.319369012421586,63.95040238517985,61.78893518770543,0.8858515933252209,"{'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.07, 'num_leaves': 15, 'subsample': 0.7, 'colsample_bytree': 0.7, 'min_child_samples': 30, 'reg_alpha': 0.3, 'reg_lambda': 2.0}"
LightGBM,85.33293581387379,37.14718308918958,56.46794202626035,60.61960607055842,0.8898769923707994,"{'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.1, 'num_leaves': 15, 'subsample': 0.6, 'colsample_bytree': 0.6, 'min_child_samples': 50, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
