date_heure_comptage;debit_horaire;taux_occupation;etat_trafic;etat_arc;est_vacances;est_ferie;precipitation;duree_precipitation_min;vitesse_vent_ms
2024-11-03 04:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.8
2024-11-03 02:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;4.0
2024-11-03 01:00:00;;;Inconnu;Invalide;1;0;0.0;0.0;2.7
2024-12-04 16:00:00;947.0;27.75389;Pré-saturé;Invalide;0;0;0.0;0.0;1.7
2024-12-04 17:00:00;855.0;20.93667;Pré-saturé;Invalide;0;0;0.0;0.0;2.7
2024-12-04 18:00:00;976.0;23.50333;Pré-saturé;Invalide;0;0;0.0;0.0;2.7
2024-12-04 19:00:00;961.0;24.58056;Pré-saturé;Invalide;0;0;0.0;0.0;3.0
2024-12-04 21:00:00;885.0;19.15445;Pré-saturé;Invalide;0;0;0.0;0.0;5.1
2024-12-04 23:00:00;747.0;14.29722;Fluide;Invalide;0;0;0.0;0.0;3.5
2024-12-05 00:00:00;668.0;9.57945;Fluide;Invalide;0;0;0.0;0.0;3.7
2025-03-08 22:00:00;1005.0;19.40834;Pré-saturé;Ouvert;0;0;0.0;0.0;5.2
2025-03-08 21:00:00;918.0;15.15667;Pré-saturé;Ouvert;0;0;0.0;0.0;4.4
2025-03-08 20:00:00;997.0;20.40944;Pré-saturé;Ouvert;0;0;0.0;0.0;3.4
2025-03-08 19:00:00;1036.0;24.63167;Pré-saturé;Ouvert;0;0;0.0;0.0;3.0
2025-03-08 17:00:00;1143.0;26.12889;Pré-saturé;Ouvert;0;0;0.0;0.0;4.0
2025-03-08 15:00:00;1005.0;22.60556;Pré-saturé;Ouvert;0;0;0.0;0.0;4.9
2025-03-08 12:00:00;932.0;15.65;Pré-saturé;Ouvert;0;0;0.0;0.0;4.2
2025-03-08 10:00:00;732.0;11.60611;Fluide;Ouvert;0;0;0.0;0.0;3.2
2025-03-08 09:00:00;510.0;6.38834;Fluide;Ouvert;0;0;0.0;0.0;4.0
2025-03-08 06:00:00;367.0;4.6;Fluide;Ouvert;0;0;0.0;0.0;3.7
2025-03-08 02:00:00;935.0;13.88889;Fluide;Ouvert;0;0;0.0;0.0;1.9
2025-08-05 00:00:00;603.0;10.47889;Fluide;Ouvert;1;0;0.0;0.0;3.9
2025-08-04 23:00:00;659.0;13.655;Fluide;Ouvert;1;0;0.0;0.0;4.1
2025-08-04 22:00:00;723.0;17.80667;Pré-saturé;Ouvert;1;0;0.0;0.0;2.0
2025-08-04 18:00:00;821.0;23.81444;Pré-saturé;Ouvert;1;0;0.0;0.0;2.3
2025-08-04 17:00:00;900.0;24.99167;Pré-saturé;Ouvert;1;0;0.0;0.0;4.5
2024-12-04 02:00:00;478.0;6.06611;Fluide;Invalide;0;0;0.0;0.0;1.5
2024-12-04 04:00:00;195.0;2.175;Fluide;Invalide;0;0;0.0;0.0;1.8
2024-12-04 05:00:00;229.0;2.51111;Fluide;Invalide;0;0;0.0;0.0;0.5
2024-12-04 06:00:00;296.0;2.82;Fluide;Invalide;0;0;0.0;0.0;0.9
2024-12-04 08:00:00;877.0;9.16667;Fluide;Invalide;0;0;0.0;49.0;1.8
2024-12-04 09:00:00;1134.0;15.715;Pré-saturé;Invalide;0;0;0.0;19.0;1.3
2025-02-19 07:00:00;511.0;5.74611;Fluide;Ouvert;1;0;0.0;0.0;3.3
2025-02-19 05:00:00;161.0;1.62666;Fluide;Ouvert;1;0;0.0;0.0;2.4
2025-02-19 04:00:00;197.0;2.13;Fluide;Ouvert;1;0;0.0;0.0;3.5
2025-02-19 03:00:00;366.0;4.39111;Fluide;Ouvert;1;0;0.0;0.0;2.7
2025-02-19 01:00:00;578.0;7.45556;Fluide;Ouvert;1;0;0.0;0.0;2.8
2025-05-06 05:00:00;143.0;1.41722;Fluide;Ouvert;0;0;0.0;0.0;5.0
2025-05-06 07:00:00;524.0;5.54389;Fluide;Ouvert;0;0;0.0;0.0;4.6
2025-05-06 08:00:00;796.0;8.40334;Fluide;Ouvert;0;0;0.0;0.0;5.2
2025-05-06 10:00:00;1002.0;12.58778;Fluide;Ouvert;0;0;0.0;0.0;5.5
2025-05-06 11:00:00;942.0;17.22278;Pré-saturé;Ouvert;0;0;0.0;0.0;5.3
2025-05-06 12:00:00;905.0;21.45278;Pré-saturé;Ouvert;0;0;0.0;0.0;4.3
2025-05-06 14:00:00;903.0;21.19611;Pré-saturé;Ouvert;0;0;0.0;0.0;5.6
2025-05-06 15:00:00;954.0;22.97556;Pré-saturé;Ouvert;0;0;0.0;0.0;5.8
2025-04-03 15:00:00;1104.0;17.61889;Pré-saturé;Ouvert;0;0;0.0;0.0;3.2
2025-04-03 16:00:00;1017.0;20.39222;Pré-saturé;Ouvert;0;0;0.0;0.0;3.8
2025-01-06 23:00:00;622.0;13.74389;Fluide;Invalide;0;0;0.0;0.0;4.9
2025-01-06 22:00:00;675.0;12.73833;Fluide;Invalide;0;0;0.0;0.0;5.0
2025-01-06 21:00:00;800.0;17.68834;Pré-saturé;Invalide;0;0;0.0;0.0;6.6
2025-07-03 00:00:00;747.0;14.49722;Fluide;Ouvert;0;0;0.0;0.0;3.9
2025-07-02 22:00:00;953.0;21.60889;Pré-saturé;Ouvert;0;0;0.0;0.0;3.5
2025-07-02 21:00:00;1207.0;27.73056;Pré-saturé;Ouvert;0;0;0.0;0.0;5.3
2025-07-02 20:00:00;1469.0;35.75667;Saturé;Ouvert;0;0;0.0;0.0;4.6
2025-07-02 17:00:00;1297.0;31.05056;Saturé;Ouvert;0;0;0.0;0.0;6.4
2025-01-07 00:00:00;490.0;7.04611;Fluide;Invalide;0;0;0.0;0.0;3.5
2025-01-06 20:00:00;929.0;20.45555;Pré-saturé;Invalide;0;0;0.0;0.0;5.8
2025-01-06 19:00:00;906.0;20.17778;Pré-saturé;Invalide;0;0;0.0;0.0;5.3
2025-01-06 18:00:00;848.0;19.72167;Pré-saturé;Invalide;0;0;0.0;0.0;5.8
2025-07-01 05:00:00;232.0;2.39445;Fluide;Ouvert;0;0;0.0;0.0;1.4
2025-07-01 08:00:00;1104.0;15.94278;Pré-saturé;Ouvert;0;0;0.0;0.0;1.8
2025-07-01 09:00:00;1326.0;42.71334;Saturé;Ouvert;0;0;0.0;0.0;2.7
2025-07-01 10:00:00;1398.0;30.47;Saturé;Ouvert;0;0;0.0;0.0;4.0
2025-07-01 11:00:00;1237.0;45.45223;Saturé;Ouvert;0;0;0.0;0.0;2.8
2025-07-01 12:00:00;935.0;77.54556;Bloqué;Ouvert;0;0;0.0;0.0;3.6
2025-07-01 17:00:00;;;Inconnu;Invalide;0;0;0.0;0.0;2.8
2025-07-01 22:00:00;337.0;9.68167;Fluide;Ouvert;0;0;0.0;0.0;3.1
2025-07-02 00:00:00;172.0;10.49778;Fluide;Ouvert;0;0;0.0;0.0;1.9
2024-10-07 01:00:00;531.0;8.05611;Fluide;Invalide;0;0;0.0;0.0;2.4
2024-10-07 02:00:00;406.0;5.04111;Fluide;Invalide;0;0;0.0;0.0;2.6
2024-10-07 03:00:00;266.0;3.37333;Fluide;Invalide;0;0;0.0;0.0;2.1
2024-10-07 06:00:00;280.0;3.44056;Fluide;Invalide;0;0;0.0;0.0;2.3
2024-10-07 07:00:00;562.0;6.38222;Fluide;Invalide;0;0;0.0;0.0;1.6
2024-10-07 08:00:00;1061.0;12.34778;Fluide;Invalide;0;0;0.0;0.0;2.6
2025-04-02 16:00:00;948.0;20.46167;Pré-saturé;Ouvert;0;0;0.0;0.0;5.0
2025-04-03 09:00:00;1294.0;14.305;Fluide;Ouvert;0;0;0.0;0.0;4.1
2025-04-03 10:00:00;1280.0;16.96889;Pré-saturé;Ouvert;0;0;0.0;0.0;4.7
2025-09-02 16:00:00;1133.0;65.96833;Bloqué;Ouvert;0;0;0.4;23.0;4.1
2024-09-04 00:00:00;211.0;0.00222;Fluide;Invalide;0;0;0.0;0.0;1.6
2024-09-03 22:00:00;287.0;21.21334;Pré-saturé;Invalide;0;0;0.0;0.0;2.0
2024-09-03 17:00:00;333.0;22.42445;Pré-saturé;Invalide;0;0;0.0;0.0;1.4
2025-10-10 11:00:00;854.0;18.37334;Pré-saturé;Ouvert;0;0;0.0;0.0;3.4
2025-10-10 10:00:00;939.0;14.01778;Fluide;Ouvert;0;0;0.0;0.0;2.8
2025-10-10 07:00:00;525.0;5.92722;Fluide;Ouvert;0;0;0.0;0.0;2.6
2025-10-10 05:00:00;270.0;4.40167;Fluide;Ouvert;0;0;0.0;0.0;1.1
2025-10-10 02:00:00;554.0;7.35167;Fluide;Ouvert;0;0;0.0;0.0;1.5
2025-04-03 00:00:00;690.0;9.80056;Fluide;Ouvert;0;0;0.0;0.0;1.8
2025-04-02 23:00:00;725.0;12.48889;Fluide;Ouvert;0;0;0.0;0.0;1.6
2025-04-02 19:00:00;1142.0;27.84778;Pré-saturé;Ouvert;0;0;0.0;0.0;2.5
2025-10-02 10:00:00;935.0;17.42722;Pré-saturé;Ouvert;0;0;0.0;0.0;2.1
2025-10-02 11:00:00;943.0;22.71556;Pré-saturé;Ouvert;0;0;0.0;0.0;2.3
2024-10-07 04:00:00;165.0;2.04111;Fluide;Invalide;0;0;0.0;0.0;1.7
2024-10-07 05:00:00;130.0;1.52223;Fluide;Invalide;0;0;0.0;0.0;1.4
2024-10-07 09:00:00;1412.0;16.53889;Pré-saturé;Invalide;0;0;0.0;0.0;1.9
